Filename,ClassId
train_000000.png,1
train_000001.png,28
train_000002.png,9
train_000003.png,9
train_000004.png,33
train_000005.png,2
train_000006.png,11
train_000007.png,27
train_000008.png,13
train_000009.png,35
train_000010.png,10
train_000011.png,13
train_000012.png,2
train_000013.png,4
train_000014.png,17
train_000015.png,13
train_000016.png,1
train_000017.png,7
train_000018.png,11
train_000019.png,30
train_000020.png,8
train_000021.png,29
train_000022.png,7
train_000023.png,3
train_000024.png,38
train_000025.png,19
train_000026.png,2
train_000027.png,24
train_000028.png,3
train_000029.png,12
train_000030.png,8
train_000031.png,3
train_000032.png,4
train_000033.png,38
train_000034.png,8
train_000035.png,18
train_000036.png,11
train_000037.png,39
train_000038.png,26
train_000039.png,10
train_000040.png,28
train_000041.png,27
train_000042.png,9
train_000043.png,33
train_000044.png,18
train_000045.png,21
train_000046.png,24
train_000047.png,19
train_000048.png,41
train_000049.png,1
train_000050.png,12
train_000051.png,40
train_000052.png,17
train_000053.png,9
train_000054.png,1
train_000055.png,17
train_000056.png,18
train_000057.png,20
train_000058.png,25
train_000059.png,4
train_000060.png,27
train_000061.png,5
train_000062.png,14
train_000063.png,26
train_000064.png,25
train_000065.png,10
train_000066.png,4
train_000067.png,18
train_000068.png,10
train_000069.png,14
train_000070.png,38
train_000071.png,14
train_000072.png,8
train_000073.png,35
train_000074.png,16
train_000075.png,4
train_000076.png,20
train_000077.png,13
train_000078.png,14
train_000079.png,9
train_000080.png,25
train_000081.png,37
train_000082.png,25
train_000083.png,41
train_000084.png,15
train_000085.png,38
train_000086.png,9
train_000087.png,38
train_000088.png,2
train_000089.png,3
train_000090.png,12
train_000091.png,1
train_000092.png,32
train_000093.png,17
train_000094.png,7
train_000095.png,8
train_000096.png,11
train_000097.png,12
train_000098.png,38
train_000099.png,8
train_000100.png,3
train_000101.png,11
train_000102.png,40
train_000103.png,17
train_000104.png,13
train_000105.png,18
train_000106.png,2
train_000107.png,9
train_000108.png,13
train_000109.png,3
train_000110.png,10
train_000111.png,9
train_000112.png,5
train_000113.png,15
train_000114.png,12
train_000115.png,11
train_000116.png,8
train_000117.png,2
train_000118.png,2
train_000119.png,36
train_000120.png,12
train_000121.png,5
train_000122.png,2
train_000123.png,38
train_000124.png,1
train_000125.png,23
train_000126.png,28
train_000127.png,17
train_000128.png,42
train_000129.png,17
train_000130.png,38
train_000131.png,12
train_000132.png,3
train_000133.png,31
train_000134.png,15
train_000135.png,7
train_000136.png,9
train_000137.png,17
